"address","group","type","description"
"0",,"READ","NIVEL EN SBR en %   "
"1",,"READ","Oxigeno disuelto en mg/litro  por 100 "
"2",,"READ","TURBIEDAD  en NTU por 100"
"3",,"READ","Volumen Tratado en m3"
"4",,"READ","Volumen Tratado en m3  parcial"
"5",,"READ/WRITE","valor minimo de oxigeno en mg/litro por 100"
"6",,"READ/WRITE","valor maximo de oxigeno en mg/litro por 100"
"7",,"READ/WRITE","valor maximo de turbiedad en NTU por 100"
"8",,"READ/WRITE","Programa SBR actual"
"9",,"READ/WRITE","Programa 1 carga aireada"
"10",,"READ/WRITE","Programa 1aireacion"
"11",,"READ/WRITE","Programa 1 sedimentacion"
"12",,"READ/WRITE","Programa 1 descarga"
"13",,"READ/WRITE","Programa 2 carga aireada"
"14",,"READ/WRITE","Programa 2 aireacion"
"15",,"READ/WRITE","Programa 2 sedimentacion"
"16",,"READ/WRITE","Programa 2 descarga"
"17",,"READ/WRITE","Programa 3 carga aireada"
"18",,"READ/WRITE","Programa 3 aireacion"
"19",,"READ/WRITE","Programa 3 sedimentacion"
"20",,"READ/WRITE","Programa 3 descarga"
"21",,"READ","Tiempo actual carga aireada"
"22",,"READ","Tiempo actual aireacion"
"23",,"READ","Tiempo actual sedimentacion"
"24",,"READ","Tiempo actual  descarga"
"25",,"READ/WRITE","Hora inicio programa 1"
"26",,"READ/WRITE","Hora inicio programa 2"
"27",,"READ/WRITE","Hora inicio programa 3"
"32",,"READ/WRITE","HORA DEL PLC ?"
